participant_id,trial_order,trial_id,repeat_index_for_video,clip_team_id,clip_number,source,scene_sequence,camera_id,interactive_obj,clip_name,video_link,text_description,image_link,scene_image_rgb,vlm_image_link,interaction_type,pred_interaction,human_state,object_property,spatial_context,risk_factor,gt_human_bbox,gt_object_bbox,pred_human_bbox,pred_object_bbox,form_edit_url,form_published_url,vlm_inference,selected_frame_index
P002,1,gates-159-group-meeting-2019-04-03_0_image_0_holding_000009_000201_H1_O7.mp4,3,22,26,JRDB,gates-159-group-meeting-2019-04-03_0,0,controller,gates-159-group-meeting-2019-04-03_0_image_0_holding_000009_000201_H1_O7.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQBsLWi9c6Q9Tr2PV9XuykHvAU6Lh77EroBdN-LXjUWO210,A bald man in a plaid shirt stands in the meeting room holding a small controller at his waist.,C:\Users\selin\OneDrive\dsg_kb_source\jrdb_event\event_all_jrdb\event_all\gates-159-group-meeting-2019-04-03_0_image_0_holding_000009_000201_H1_O7\vlm_input_image\frame_000020.jpg,C:\Users\selin\OneDrive\dsg_kb_source\jrdb_event\event_all_jrdb\event_all\gates-159-group-meeting-2019-04-03_0_image_0_holding_000009_000201_H1_O7\vlm_input_image\frame_000020.jpg,C:\Users\selin\OneDrive\dsg_kb_source\jrdb_event\event_all_jrdb\event_all\gates-159-group-meeting-2019-04-03_0_image_0_holding_000009_000201_H1_O7\vlm_input_image\frame_000020.jpg,holding,hold,normal,small,open_space,none,"[74, 0, 232, 446]","[135, 167, 173, 182]","[74, 0, 232, 446]","[135, 167, 173, 182]",,,VLM: hold; human_state=normal; object_property=small; spatial_context=open_space; risk_factor=none; selected_frame=20; gt_interaction=holding,20
P002,2,warehouse_1_event_37_trashcan_0001_lifting_001655_001746.mp4,3,43,21,Hunavsim,Warehouse,1,trashcan_0001,warehouse_1_event_37_trashcan_0001_lifting_001655_001746.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQDeuLzmcq5_R4nfj1K3ZndUAQvzbXHmqYCq3E6bL8g9NqE,"A worker in a yellow safety vest or a light uniform lifts a trash can beside the white warehouse wall, yellow forklift, stacked pallets, and blue rolling bins.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_37_trashcan_0001_lifting_001655_001746\vlm_input_image\frame_001746.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_1_event_37_trashcan_0001_lifting_001655_001746\vlm_input_image\frame_001746.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_37_trashcan_0001_lifting_001655_001746\vlm_input_image\frame_001746.png,lifting,lifting,strained,small,open_space,collision_risk,"[227, 63, 413, 417]","[206, 162, 282, 237]","[227, 63, 413, 417]","[206, 162, 282, 237]",,,VLM: lifting; human_state=strained; object_property=small; spatial_context=open_space; risk_factor=collision_risk; selected_frame=1746; gt_interaction=lifting,1746
P002,3,office_1_event_151_woodchair_0001_lifting_005819_005840.mp4,3,71,202,Hunavsim,Office,1,woodchair_0001,office_1_event_151_woodchair_0001_lifting_005819_005840.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQB3MXFCiJn2T5MMScAyQ7ixAdvHhzJtYnTJ_vMnVz8P_hY,"A person in a pink or light-colored outfit lifts a wooden chair in a bright office room with desks, black chairs, computer monitors, doorway signage, and wall decorations.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_151_woodchair_0001_lifting_005819_005840\vlm_input_image\frame_005828.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_151_woodchair_0001_lifting_005819_005840\vlm_input_image\frame_005828.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_151_woodchair_0001_lifting_005819_005840\vlm_input_image\frame_005828.png,lifting,lifting,strained,large,open_space,object_motion_risk,"[186, 110, 263, 370]","[170, 161, 255, 330]","[186, 109, 269, 370]","[165, 157, 255, 353]",,,VLM: lifting; human_state=strained; object_property=large; spatial_context=open_space; risk_factor=object_motion_risk; selected_frame=5828; gt_interaction=lifting,5828
P002,4,office_1_event_06_largebox_0002_kicking_000465_000647.mp4,2,56,136,Hunavsim,Office,1,largebox_0002,office_1_event_06_largebox_0002_kicking_000465_000647.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQDjnK2Y8iG0Tq7n9AoCUndrAbp1BSM8YEN2J3rt6F9D3wA,"A person in a light shirt and dark pants kicks a large cardboard box in an office lobby with a long table, monitors, large windows, potted plants, and patterned carpet.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_06_largebox_0002_kicking_000465_000647\vlm_input_image\frame_000572.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_06_largebox_0002_kicking_000465_000647\vlm_input_image\frame_000572.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_06_largebox_0002_kicking_000465_000647\vlm_input_image\frame_000572.png,kicking,kicking,normal,large,open_space,none,"[283, 110, 356, 370]","[335, 317, 413, 380]","[277, 107, 361, 370]","[333, 313, 413, 380]",,,VLM: kicking; human_state=normal; object_property=large; spatial_context=open_space; risk_factor=none; selected_frame=572; gt_interaction=kicking,572
P002,5,warehouse_2_event_02_woodchair_0001_carrying_000070_000169.mp4,4,47,36,Hunavsim,Warehouse,2,woodchair_0001,warehouse_2_event_02_woodchair_0001_carrying_000070_000169.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQAgODmzhy4uQax87N1UlQ0GAVZcxbFj7kYg1wBT5NMT-Fc,"A person in a dark outfit or purple pants carries a wooden chair in a yellow-and-white warehouse with a forklift, blue bins, pallets, and tall metal racks.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_2_event_02_woodchair_0001_carrying_000070_000169\vlm_input_image\frame_000094.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_2_event_02_woodchair_0001_carrying_000070_000169\vlm_input_image\frame_000094.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_2_event_02_woodchair_0001_carrying_000070_000169\vlm_input_image\frame_000094.png,carrying,carrying,normal,small,open_space,none,"[264, 109, 373, 369]","[200, 171, 277, 312]","[264, 109, 373, 369]","[200, 171, 277, 312]",,,VLM: carrying; human_state=normal; object_property=small; spatial_context=open_space; risk_factor=none; selected_frame=94; gt_interaction=carrying,94
P002,6,office_1_event_35_suitcase_0001_lifting_001971_002012.mp4,2,66,158,Hunavsim,Office,1,suitcase_0001,office_1_event_35_suitcase_0001_lifting_001971_002012.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQCmfHZGRGtnQbDXjYLZyf6PARQKsnO3O5wJvcs3HvHEHlI,"A person in dark clothing lifts a suitcase in a meeting-style office with rows of chairs, desks, monitors, and a dark patterned carpet.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_35_suitcase_0001_lifting_001971_002012\vlm_input_image\frame_001995.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_35_suitcase_0001_lifting_001971_002012\vlm_input_image\frame_001995.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_35_suitcase_0001_lifting_001971_002012\vlm_input_image\frame_001995.png,lifting,lifting,strained,large,narrow_corridor,object_motion_risk,"[206, 0, 435, 523]","[52, 113, 247, 401]","[205, 10, 435, 467]","[49, 110, 247, 397]",,,VLM: lifting; human_state=strained; object_property=large; spatial_context=narrow_corridor; risk_factor=object_motion_risk; selected_frame=1995; gt_interaction=lifting,1995
P002,7,warehouse_1_event_04_plasticbox_0001_kicking_000245_000295.mp4,3,44,5,Hunavsim,Warehouse,1,plasticbox_0001,warehouse_1_event_04_plasticbox_0001_kicking_000245_000295.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQB2wCPmrOsdT5H_-o6NMj7eAVZi-hfyG8jzSfna3wglkC0,"A person in a dark outfit or purple pants kicks a plastic storage box in a yellow-and-white warehouse with a forklift, blue bins, pallets, and tall metal racks.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_04_plasticbox_0001_kicking_000245_000295\vlm_input_image\frame_000254.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_1_event_04_plasticbox_0001_kicking_000245_000295\vlm_input_image\frame_000254.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_04_plasticbox_0001_kicking_000245_000295\vlm_input_image\frame_000254.png,kicking,kicking,normal,large,open_space,none,"[277, 109, 364, 369]","[236, 328, 342, 379]","[277, 109, 364, 369]","[236, 328, 342, 379]",,,VLM: kicking; human_state=normal; object_property=large; spatial_context=open_space; risk_factor=none; selected_frame=254; gt_interaction=kicking,254
P002,8,office_1_event_174_trashcan_0002_putting_down_007695_007739.mp4,2,69,212,Hunavsim,Office,1,trashcan_0002,office_1_event_174_trashcan_0002_putting_down_007695_007739.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQCNAmfnAWbGT4ZQ9sCY6fCHAXXe6KxpNLrqdcRKdiVG5Yk,"A person in a dark top near the office doorway puts down a trash can in a bright office room with desks, black chairs, computer monitors, doorway signage, and wall decorations.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_174_trashcan_0002_putting_down_007695_007739\vlm_input_image\frame_007729.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_174_trashcan_0002_putting_down_007695_007739\vlm_input_image\frame_007729.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_174_trashcan_0002_putting_down_007695_007739\vlm_input_image\frame_007729.png,putting_down,putting_down,strained,small,open_space,none,"[252, 111, 387, 370]","[322, 262, 383, 334]","[249, 111, 391, 370]","[313, 173, 381, 335]",,,VLM: putting_down; human_state=strained; object_property=small; spatial_context=open_space; risk_factor=none; selected_frame=7729; gt_interaction=putting_down,7729
P002,9,office_1_event_138_trashcan_0001_lifting_005070_005112.mp4,3,68,192,Hunavsim,Office,1,trashcan_0001,office_1_event_138_trashcan_0001_lifting_005070_005112.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQCGLZ1xOeYGT7LqKCq9fweCASC3QOGojjuK_7JKf6dXAik,"A person in a pink or light-colored outfit lifts a trash can in a bright office room with desks, black chairs, computer monitors, doorway signage, and wall decorations.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_138_trashcan_0001_lifting_005070_005112\vlm_input_image\frame_005097.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_138_trashcan_0001_lifting_005070_005112\vlm_input_image\frame_005097.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_138_trashcan_0001_lifting_005070_005112\vlm_input_image\frame_005097.png,lifting,lifting,normal,small,open_space,none,"[190, 110, 262, 369]","[172, 227, 213, 278]","[185, 109, 265, 369]","[172, 227, 213, 278]",,,VLM: lifting; human_state=normal; object_property=small; spatial_context=open_space; risk_factor=none; selected_frame=5097; gt_interaction=lifting,5097
P002,10,warehouse_3_event_37_smallbox_0001_lifting_002050_002072.mp4,3,42,81,Hunavsim,Warehouse,3,smallbox_0001,warehouse_3_event_37_smallbox_0001_lifting_002050_002072.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQDxUMCVjgU0SqALM-wP4oUwASmVTiCuSKf4VfJO5boTxe4,"A person in a white or light gray outfit lifts a small box beside the white warehouse wall, yellow forklift, stacked pallets, and blue rolling bins.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_37_smallbox_0001_lifting_002050_002072\vlm_input_image\frame_002072.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_3_event_37_smallbox_0001_lifting_002050_002072\vlm_input_image\frame_002072.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_37_smallbox_0001_lifting_002050_002072\vlm_input_image\frame_002072.png,lifting,lifting,strained,small,open_space,object_motion_risk,"[166, 110, 280, 370]","[109, 245, 176, 276]","[161, 109, 291, 373]","[109, 245, 176, 276]",,,VLM: lifting; human_state=strained; object_property=small; spatial_context=open_space; risk_factor=object_motion_risk; selected_frame=2072; gt_interaction=lifting,2072
P003,1,warehouse_1_event_50_smallbox_0001_kicking_002486_002598.mp4,4,42,31,Hunavsim,Warehouse,1,smallbox_0001,warehouse_1_event_50_smallbox_0001_kicking_002486_002598.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQCMh9cz-uG1RZ4wtqK2F3J5AW5_a7pZxYsb0FXq0dtCAXQ,"A person in a white or light gray outfit kicks a small box beside the white warehouse wall, yellow forklift, stacked pallets, and blue rolling bins.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_50_smallbox_0001_kicking_002486_002598\vlm_input_image\frame_002569.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_1_event_50_smallbox_0001_kicking_002486_002598\vlm_input_image\frame_002569.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_50_smallbox_0001_kicking_002486_002598\vlm_input_image\frame_002569.png,kicking,kicking,normal,small,open_space,none,"[204, 0, 435, 483]","[192, 349, 297, 397]","[204, 51, 435, 423]","[192, 349, 297, 397]",,,VLM: kicking; human_state=normal; object_property=small; spatial_context=open_space; risk_factor=none; selected_frame=2569; gt_interaction=kicking,2569
